Zone,District,Fiscal Month Number,Fiscal Year,Month Name,Diversion Rate-Total (Total Recycling / Total Waste),Capture Rate-Paper (Total Paper / Max Paper),Capture Rate-MGP (Total MGP / Max MGP),Capture Rate-Total ((Total Recycling - Leaves (Recycling)) / (Max Paper + Max MGP))x100
Queens West,QW09,12,2019,June,22.8,44.3,79.1,57.5
Staten Island,SI01,12,2019,June,21.5,48.2,90.4,63.2
Staten Island,SI02,12,2019,June,19.3,52.8,84.1,63.9
Staten Island,SI03,12,2019,June,20.5,54.8,95.4,69.2
Brooklyn North,BKN01,9,2019,March,15.7,48.2,47.2,47.8
Brooklyn North,BKN02,9,2019,March,19.7,31.2,56.4,38.4
Brooklyn North,BKN03,9,2019,March,12.3,35.0,44.7,39.0
Brooklyn North,BKN04,9,2019,March,16.0,37.5,69.4,50.6
Brooklyn North,BKN05,9,2019,March,10.4,24.7,44.6,32.8
Brooklyn North,BKN08,9,2019,March,16.9,45.9,60.5,51.9
Brooklyn North,BKN09,9,2019,March,14.5,31.4,46.2,36.8
Brooklyn North,BKN16,9,2019,March,9.3,21.8,34.8,27.1
Brooklyn North,BKN17,9,2019,March,14.1,26.5,61.7,39.3
Brooklyn South,BKS06,9,2019,March,30.6,43.6,81.3,54.3
Brooklyn South,BKS07,9,2019,March,20.3,41.6,71.7,52.6
Brooklyn South,BKS10,9,2019,March,24.7,47.8,76.1,58.1
Brooklyn South,BKS11,9,2019,March,19.1,42.1,63.9,50.0
Brooklyn South,BKS12,9,2019,March,15.3,47.1,45.9,46.6
Brooklyn South,BKS13,9,2019,March,14.9,41.8,50.8,45.9
Brooklyn South,BKS14,9,2019,March,15.2,32.2,55.8,39.6
Brooklyn South,BKS15,9,2019,March,19.0,44.2,61.0,50.3
Brooklyn South,BKS18,9,2019,March,15.4,29.4,62.0,39.9
Bronx,BX01,9,2019,March,7.1,20.0,24.8,22.2
Bronx,BX02,9,2019,March,13.3,34.6,53.0,42.9
Bronx,BX03,9,2019,March,9.6,26.1,36.9,31.0
Bronx,BX04,9,2019,March,12.4,30.4,48.8,38.7
Bronx,BX05,9,2019,March,11.2,26.8,47.4,36.0
Bronx,BX06,9,2019,March,14.8,36.9,48.2,42.0
Bronx,BX07,9,2019,March,14.6,34.2,62.7,47.0
Bronx,BX08,9,2019,March,20.6,37.0,79.8,50.4
Bronx,BX09,9,2019,March,9.9,22.0,44.7,31.3
Bronx,BX10,9,2019,March,20.1,36.0,79.6,51.9
Bronx,BX11,9,2019,March,15.8,31.6,55.3,40.3
Bronx,BX12,9,2019,March,19.1,30.9,74.1,46.6
Manhattan,MN01,9,2019,March,28.3,45.9,71.5,52.5
Manhattan,MN02,9,2019,March,27.9,40.5,82.6,51.3
Manhattan,MN03,9,2019,March,14.5,40.6,42.0,41.2
Manhattan,MN04,9,2019,March,23.9,33.9,73.5,44.1
Manhattan,MN05,9,2019,March,21.7,34.5,61.6,41.4
Manhattan,MN06,9,2019,March,23.3,33.9,69.1,43.0
Manhattan,MN07,9,2019,March,27.8,41.0,80.1,51.1
Manhattan,MN08,9,2019,March,26.9,42.2,76.7,51.0
Manhattan,MN09,9,2019,March,18.6,55.0,47.8,51.8
Manhattan,MN10,9,2019,March,14.6,39.0,54.7,46.1
Manhattan,MN11,9,2019,March,11.5,38.9,31.1,35.4
Manhattan,MN12,9,2019,March,16.6,43.4,57.5,49.8
Queens East,QE07,9,2019,March,20.5,45.4,67.0,53.2
Queens East,QE08,9,2019,March,16.9,27.3,52.7,34.5
Queens East,QE10,9,2019,March,19.5,32.0,82.0,48.0
Queens East,QE11,9,2019,March,24.6,46.6,82.0,57.9
Queens East,QE12,9,2019,March,14.4,30.8,68.7,46.7
Queens East,QE13,9,2019,March,20.7,28.5,88.0,47.5
Queens East,QE14,9,2019,March,13.0,29.5,40.1,33.3
Queens West,QW01,9,2019,March,20.3,45.4,77.0,56.9
Queens West,QW02,9,2019,March,21.2,45.2,70.9,54.5
Queens West,QW03,9,2019,March,14.6,28.9,62.1,41.0
Queens West,QW04,9,2019,March,14.9,30.5,61.2,41.6
Queens West,QW05,9,2019,March,24.2,42.8,84.9,58.1
Queens West,QW06,9,2019,March,20.7,29.1,69.6,39.5
Queens West,QW09,9,2019,March,22.5,38.0,77.1,52.2
Staten Island,SI01,9,2019,March,19.7,34.9,74.9,47.7
Staten Island,SI02,9,2019,March,20.2,39.4,72.6,50.0
Staten Island,SI03,9,2019,March,20.6,40.5,77.8,52.4
Brooklyn North,BKN01,11,2019,May,15.7,46.9,47.1,47.0
Brooklyn North,BKN02,11,2019,May,19.5,32.6,57.7,40.0
Brooklyn North,BKN03,11,2019,May,11.7,32.6,42.7,36.7
Brooklyn North,BKN04,11,2019,May,15.0,35.0,64.4,47.0
Brooklyn North,BKN05,11,2019,May,9.8,21.7,43.9,30.7
Brooklyn North,BKN08,11,2019,May,15.7,42.5,55.1,47.7
Brooklyn North,BKN09,11,2019,May,14.1,32.8,47.9,38.5
Brooklyn North,BKN16,11,2019,May,9.8,20.8,37.9,27.8
Brooklyn North,BKN17,11,2019,May,13.1,26.8,61.3,39.9
Brooklyn South,BKS06,11,2019,May,28.7,44.4,82.6,55.7
Brooklyn South,BKS07,11,2019,May,19.5,44.0,71.5,54.4
Brooklyn South,BKS10,11,2019,May,24.0,49.7,76.5,59.9
Brooklyn South,BKS11,11,2019,May,18.1,43.3,64.6,51.4
Brooklyn South,BKS12,11,2019,May,15.7,46.9,47.3,47.0
Brooklyn South,BKS13,11,2019,May,14.7,40.2,54.1,46.2
Brooklyn South,BKS14,11,2019,May,14.2,35.8,56.2,42.8
Brooklyn South,BKS15,11,2019,May,18.7,45.6,64.1,52.6
Brooklyn South,BKS18,11,2019,May,14.5,35.9,74.3,49.6
Bronx,BX01,11,2019,May,7.0,20.0,26.2,22.7
Bronx,BX02,11,2019,May,13.7,34.6,60.5,45.9
Bronx,BX03,11,2019,May,9.9,25.5,43.2,33.2
Bronx,BX04,11,2019,May,12.3,31.3,51.7,40.2
Bronx,BX05,11,2019,May,11.1,27.0,50.5,37.3
Bronx,BX06,11,2019,May,15.3,37.7,54.4,45.0
Bronx,BX07,11,2019,May,14.5,34.2,67.3,48.7
Bronx,BX08,11,2019,May,21.0,44.7,81.5,57.3
Bronx,BX09,11,2019,May,10.1,22.8,44.6,31.7
Bronx,BX10,11,2019,May,21.0,37.2,83.9,54.9
Bronx,BX11,11,2019,May,16.8,33.1,60.6,43.5
Bronx,BX12,11,2019,May,20.4,32.4,77.2,49.4
Manhattan,MN01,11,2019,May,27.2,45.5,73.5,52.2
Manhattan,MN02,11,2019,May,25.9,38.3,84.2,49.3
Manhattan,MN03,11,2019,May,14.2,41.0,43.2,42.0
Manhattan,MN04,11,2019,May,23.4,34.0,77.5,44.5
Manhattan,MN05,11,2019,May,20.7,33.1,65.9,41.0
Manhattan,MN06,11,2019,May,23.2,34.8,74.0,44.2
Manhattan,MN07,11,2019,May,26.8,40.8,81.6,50.6
Manhattan,MN08,11,2019,May,26.1,41.9,81.5,51.4
Manhattan,MN09,11,2019,May,18.8,55.7,52.8,54.4
Manhattan,MN10,11,2019,May,14.2,39.5,56.1,46.7
Manhattan,MN11,11,2019,May,11.3,38.8,32.6,36.1
Manhattan,MN12,11,2019,May,16.4,44.3,59.4,50.9
Queens East,QE07,11,2019,May,19.4,45.4,65.9,53.2
Queens East,QE08,11,2019,May,16.0,27.2,51.2,34.3
Queens East,QE10,11,2019,May,18.0,38.7,90.2,57.0
Queens East,QE11,11,2019,May,23.3,56.3,94.0,69.7
Queens East,QE12,11,2019,May,13.1,32.6,65.2,47.6
Queens East,QE13,11,2019,May,20.3,36.7,91.2,56.1
Queens East,QE14,11,2019,May,13.6,31.0,43.3,35.7
Queens West,QW01,11,2019,May,18.8,47.1,73.7,57.2
Queens West,QW02,11,2019,May,20.4,48.2,70.0,56.5
Queens West,QW03,11,2019,May,13.4,29.3,59.6,40.8
Queens West,QW04,11,2019,May,14.4,32.9,61.7,43.8
Queens West,QW05,11,2019,May,22.9,43.5,82.8,58.4
Queens West,QW06,11,2019,May,19.7,28.1,73.6,39.1
Queens West,QW09,11,2019,May,21.4,38.7,75.1,52.5
Staten Island,SI01,11,2019,May,20.0,42.8,81.2,56.5
Staten Island,SI02,11,2019,May,17.9,46.9,77.9,57.9
Staten Island,SI03,11,2019,May,18.9,50.2,87.4,63.4
Brooklyn North,BKN01,5,2019,November,15.9,55.4,44.0,50.2
Brooklyn North,BKN02,5,2019,November,21.2,33.1,59.0,40.3
Brooklyn North,BKN03,5,2019,November,12.1,40.1,40.5,40.3
Brooklyn North,BKN04,5,2019,November,15.2,40.4,62.7,50.5
Brooklyn North,BKN05,5,2019,November,10.4,27.4,40.9,33.5
Brooklyn North,BKN08,5,2019,November,17.1,53.7,53.4,53.5
Brooklyn North,BKN09,5,2019,November,14.1,32.5,51.4,38.9
Brooklyn North,BKN16,5,2019,November,10.1,25.4,34.3,29.4
Brooklyn North,BKN17,5,2019,November,15.4,28.8,69.2,42.6
Brooklyn South,BKS06,5,2019,November,29.8,45.4,81.9,55.5
Brooklyn South,BKS07,5,2019,November,21.0,45.7,81.7,58.0
Brooklyn South,BKS10,5,2019,November,25.6,53.9,83.7,64.1
Brooklyn South,BKS11,5,2019,November,19.8,46.8,71.0,55.0
Brooklyn South,BKS12,5,2019,November,16.7,56.0,40.3,48.9
Brooklyn South,BKS13,5,2019,November,14.8,44.1,47.8,45.7
Brooklyn South,BKS14,5,2019,November,17.2,36.1,55.9,42.4
Brooklyn South,BKS15,5,2019,November,20.3,47.5,68.9,54.8
Brooklyn South,BKS18,5,2019,November,19.1,32.3,65.8,42.8
Bronx,BX01,5,2019,November,7.1,20.0,26.5,22.8
Bronx,BX02,5,2019,November,12.1,31.7,50.3,39.8
Bronx,BX03,5,2019,November,9.0,24.6,35.9,29.5
Bronx,BX04,5,2019,November,11.7,28.6,48.8,37.4
Bronx,BX05,5,2019,November,11.1,26.6,48.9,36.4
Bronx,BX06,5,2019,November,13.4,34.7,43.8,38.7
Bronx,BX07,5,2019,November,14.6,34.7,64.9,47.9
Bronx,BX08,5,2019,November,22.9,42.5,82.6,55.2
Bronx,BX09,5,2019,November,9.8,25.2,40.8,32.3
Bronx,BX10,5,2019,November,22.0,38.0,85.7,54.3
Bronx,BX11,5,2019,November,18.5,33.9,63.1,43.8
Bronx,BX12,5,2019,November,22.7,33.0,85.8,51.0
Manhattan,MN01,5,2019,November,27.3,44.8,75.1,51.7
Manhattan,MN02,5,2019,November,27.6,41.3,88.2,52.1
Manhattan,MN03,5,2019,November,14.0,40.7,40.7,40.7
Manhattan,MN04,5,2019,November,23.2,33.3,77.2,43.3
Manhattan,MN05,5,2019,November,21.4,34.6,65.2,41.6
Manhattan,MN06,5,2019,November,23.7,35.0,75.3,44.3
Manhattan,MN07,5,2019,November,27.6,42.5,83.1,51.8
Manhattan,MN08,5,2019,November,26.9,42.9,82.2,51.9
Manhattan,MN09,5,2019,November,18.1,53.4,49.8,51.8
Manhattan,MN10,5,2019,November,13.8,39.6,50.9,44.5
Manhattan,MN11,5,2019,November,11.2,38.9,30.2,35.1
Manhattan,MN12,5,2019,November,16.3,45.2,57.6,50.6
Queens East,QE07,5,2019,November,22.3,47.3,70.0,55.0
Queens East,QE08,5,2019,November,18.1,27.2,51.8,33.9
Queens East,QE10,5,2019,November,20.2,33.5,85.4,49.8
Queens East,QE11,5,2019,November,26.2,47.7,78.6,57.4
Queens East,QE12,5,2019,November,17.8,30.4,76.1,48.6
Queens East,QE13,5,2019,November,23.9,30.2,89.5,48.8
Queens East,QE14,5,2019,November,14.2,32.9,47.3,37.8
Queens West,QW01,5,2019,November,20.2,49.3,84.3,61.2
Queens West,QW02,5,2019,November,22.0,49.3,82.7,60.7
Queens West,QW03,5,2019,November,14.7,31.2,70.4,44.6
Queens West,QW04,5,2019,November,15.1,34.0,69.4,46.1
Queens West,QW05,5,2019,November,24.6,45.4,93.1,61.7
Queens West,QW06,5,2019,November,23.8,29.1,75.7,39.8
Queens West,QW09,5,2019,November,24.8,38.7,83.3,53.9
Staten Island,SI01,5,2019,November,27.1,37.0,73.1,48.4
Staten Island,SI02,5,2019,November,27.3,41.8,70.9,51.0
Staten Island,SI03,5,2019,November,29.5,43.1,75.4,53.3
Brooklyn North,BKN01,4,2019,October,15.8,55.0,45.5,50.7
Brooklyn North,BKN02,4,2019,October,20.5,33.6,59.8,40.8
Brooklyn North,BKN03,4,2019,October,12.3,40.0,42.5,41.1
Brooklyn North,BKN04,4,2019,October,15.2,39.2,64.4,50.6
Brooklyn North,BKN05,4,2019,October,10.1,26.7,42.2,33.7
Brooklyn North,BKN08,4,2019,October,16.2,50.9,54.4,52.5
Brooklyn North,BKN09,4,2019,October,13.4,31.0,52.2,38.2
Brooklyn North,BKN16,4,2019,October,9.7,24.6,35.2,29.4
Brooklyn North,BKN17,4,2019,October,13.4,27.2,70.0,41.8
Brooklyn South,BKS06,4,2019,October,29.0,44.7,84.1,55.6
Brooklyn South,BKS07,4,2019,October,20.3,46.0,82.3,58.4
Brooklyn South,BKS10,4,2019,October,24.5,51.3,86.6,63.3
Brooklyn South,BKS11,4,2019,October,18.8,44.3,73.4,54.3
Brooklyn South,BKS12,4,2019,October,15.2,51.5,43.4,47.8
Brooklyn South,BKS13,4,2019,October,14.2,40.8,49.1,44.4
Brooklyn South,BKS14,4,2019,October,14.5,34.8,56.6,41.7
Brooklyn South,BKS15,4,2019,October,19.0,45.9,70.4,54.2
Brooklyn South,BKS18,4,2019,October,14.6,30.5,68.3,42.4
Bronx,BX01,4,2019,October,7.1,19.7,27.5,23.1
Bronx,BX02,4,2019,October,13.2,31.6,58.6,43.4
Bronx,BX03,4,2019,October,9.1,24.5,37.2,30.0
Bronx,BX04,4,2019,October,11.6,27.8,49.1,37.1
Bronx,BX05,4,2019,October,10.9,25.7,48.6,35.7
Bronx,BX06,4,2019,October,14.4,35.3,45.7,39.8
Bronx,BX07,4,2019,October,14.3,33.3,64.6,47.0
Bronx,BX08,4,2019,October,20.9,42.7,84.8,56.0
Bronx,BX09,4,2019,October,9.7,25.2,41.2,32.4
Bronx,BX10,4,2019,October,20.3,37.1,88.6,54.7
Bronx,BX11,4,2019,October,16.4,33.2,64.5,43.9
Bronx,BX12,4,2019,October,20.4,33.0,87.6,51.6
Manhattan,MN01,4,2019,October,27.2,44.6,75.7,51.7
Manhattan,MN02,4,2019,October,27.0,40.1,86.0,50.6
Manhattan,MN03,4,2019,October,14.5,42.4,42.4,42.4
Manhattan,MN04,4,2019,October,22.8,32.8,76.5,42.8
Manhattan,MN05,4,2019,October,20.6,33.0,63.4,40.0
Manhattan,MN06,4,2019,October,23.4,35.0,74.7,44.1
Manhattan,MN07,4,2019,October,27.1,41.2,81.3,50.4
Manhattan,MN08,4,2019,October,26.3,42.0,80.6,50.8
Manhattan,MN09,4,2019,October,18.8,55.9,48.7,52.8
Manhattan,MN10,4,2019,October,13.7,37.3,52.7,44.0
Manhattan,MN11,4,2019,October,11.8,41.2,31.0,36.7
Manhattan,MN12,4,2019,October,15.7,43.1,55.9,48.6
Queens East,QE07,4,2019,October,20.4,46.7,74.0,56.0
Queens East,QE08,4,2019,October,16.6,26.4,54.6,34.1
Queens East,QE10,4,2019,October,19.0,32.8,88.4,50.3
Queens East,QE11,4,2019,October,24.1,50.0,85.2,61.1
Queens East,QE12,4,2019,October,13.7,30.8,75.7,48.7
Queens East,QE13,4,2019,October,22.1,30.9,91.8,50.1
Queens East,QE14,4,2019,October,13.6,31.2,48.7,37.2
Queens West,QW01,4,2019,October,19.4,47.5,84.9,60.3
Queens West,QW02,4,2019,October,21.0,48.6,82.9,60.3
Queens West,QW03,4,2019,October,14.0,29.8,70.3,43.6
Queens West,QW04,4,2019,October,14.8,33.1,71.1,46.0
Queens West,QW05,4,2019,October,23.3,44.4,95.6,61.9
Queens West,QW06,4,2019,October,20.4,28.5,76.9,39.6
Queens West,QW09,4,2019,October,22.1,38.4,85.1,54.3
Staten Island,SI01,4,2019,October,20.0,37.7,79.0,50.7
Staten Island,SI02,4,2019,October,19.3,41.9,77.3,53.0
Staten Island,SI03,4,2019,October,20.2,44.4,85.1,57.2
Brooklyn North,BKN01,3,2019,September,16.3,58.4,44.1,51.9
Brooklyn North,BKN02,3,2019,September,20.9,36.3,58.6,42.5
Brooklyn North,BKN03,3,2019,September,12.6,41.8,42.5,42.1
Brooklyn North,BKN04,3,2019,September,15.8,42.6,64.8,52.6
Brooklyn North,BKN05,3,2019,September,10.3,28.4,41.6,34.4
Brooklyn North,BKN08,3,2019,September,17.3,56.5,54.7,55.7
Brooklyn North,BKN09,3,2019,September,13.8,33.5,51.8,39.7
Brooklyn North,BKN16,3,2019,September,9.9,26.3,34.6,30.0
Brooklyn North,BKN17,3,2019,September,14.0,29.0,72.1,43.7
Brooklyn South,BKS06,3,2019,September,29.5,47.4,84.5,57.6
Brooklyn South,BKS07,3,2019,September,21.0,48.3,83.4,60.3
Brooklyn South,BKS10,3,2019,September,24.2,53.8,85.7,64.7
Brooklyn South,BKS11,3,2019,September,18.8,46.0,71.2,54.6
Brooklyn South,BKS12,3,2019,September,16.0,56.9,42.5,50.3
Brooklyn South,BKS13,3,2019,September,14.8,42.6,50.1,45.9
Brooklyn South,BKS14,3,2019,September,15.1,36.9,57.6,43.5
Brooklyn South,BKS15,3,2019,September,19.7,48.8,72.2,56.8
Brooklyn South,BKS18,3,2019,September,15.1,31.2,70.8,43.7
Bronx,BX01,3,2019,September,7.1,20.6,26.5,23.2
Bronx,BX02,3,2019,September,13.4,33.8,57.0,43.9
Bronx,BX03,3,2019,September,9.3,26.4,35.6,30.4
Bronx,BX04,3,2019,September,12.1,30.3,50.0,38.9
Bronx,BX05,3,2019,September,11.1,26.2,50.1,36.6
Bronx,BX06,3,2019,September,14.1,38.4,44.0,40.9
Bronx,BX07,3,2019,September,14.5,34.6,64.6,47.7
Bronx,BX08,3,2019,September,21.5,44.9,85.3,57.7
Bronx,BX09,3,2019,September,9.8,26.6,40.2,32.8
Bronx,BX10,3,2019,September,20.7,39.5,87.5,55.9
Bronx,BX11,3,2019,September,16.8,35.2,65.3,45.4
Bronx,BX12,3,2019,September,20.4,33.9,87.3,52.1
Manhattan,MN01,3,2019,September,27.9,44.2,83.3,53.2
Manhattan,MN02,3,2019,September,27.1,41.8,83.2,51.3
Manhattan,MN03,3,2019,September,14.7,45.3,42.3,44.0
Manhattan,MN04,3,2019,September,23.0,33.8,74.4,43.1
Manhattan,MN05,3,2019,September,20.9,33.9,62.7,40.5
Manhattan,MN06,3,2019,September,23.7,36.0,74.6,44.9
Manhattan,MN07,3,2019,September,27.3,42.5,80.7,51.3
Manhattan,MN08,3,2019,September,26.9,43.8,78.5,51.8
Manhattan,MN09,3,2019,September,18.7,60.0,48.4,54.9
Manhattan,MN10,3,2019,September,14.4,39.9,54.7,46.3
Manhattan,MN11,3,2019,September,11.7,41.9,29.7,36.6
Manhattan,MN12,3,2019,September,16.3,45.7,56.9,50.6
Queens East,QE07,3,2019,September,20.3,47.7,73.8,56.6
Queens East,QE08,3,2019,September,17.2,27.4,54.0,34.7
Queens East,QE10,3,2019,September,19.5,34.8,89.8,52.1
Queens East,QE11,3,2019,September,24.4,52.3,87.1,63.2
Queens East,QE12,3,2019,September,14.0,31.7,76.8,49.6
Queens East,QE13,3,2019,September,22.9,30.9,93.0,50.5
Queens East,QE14,3,2019,September,14.5,32.1,52.6,39.1
Queens West,QW01,3,2019,September,20.0,50.3,85.1,62.1
Queens West,QW02,3,2019,September,21.7,50.7,84.8,62.3
Queens West,QW03,3,2019,September,14.6,33.2,69.0,45.4
Queens West,QW04,3,2019,September,15.3,35.3,71.3,47.6
Queens West,QW05,3,2019,September,23.8,47.7,96.9,64.5
Queens West,QW06,3,2019,September,20.9,29.5,77.7,40.5
Queens West,QW09,3,2019,September,22.4,40.1,88.5,56.6
Staten Island,SI01,3,2019,September,20.4,38.9,80.5,52.0
Staten Island,SI02,3,2019,September,19.5,42.3,79.8,54.1
Staten Island,SI03,3,2019,September,20.7,45.9,87.2,58.9
Brooklyn North,BKN01,10,2018,April,15.9,48.3,48.0,48.2
Brooklyn North,BKN02,10,2018,April,20.3,35.7,58.7,42.5
Brooklyn North,BKN03,10,2018,April,12.3,34.3,45.2,38.7
Brooklyn North,BKN04,10,2018,April,15.6,35.3,68.7,48.9
Brooklyn North,BKN05,10,2018,April,10.3,23.7,44.8,32.3
Brooklyn North,BKN08,10,2018,April,16.7,44.8,60.1,51.0
Brooklyn North,BKN09,10,2018,April,12.9,34.6,47.0,39.3
Brooklyn North,BKN16,10,2018,April,9.3,20.7,35.9,26.9
Brooklyn North,BKN17,10,2018,April,13.9,29.8,62.6,42.3
Brooklyn South,BKS06,10,2018,April,29.1,48.8,83.5,59.0
Brooklyn South,BKS07,10,2018,April,22.7,46.3,73.0,56.4
Brooklyn South,BKS10,10,2018,April,23.7,56.3,80.8,65.6
Brooklyn South,BKS11,10,2018,April,19.1,46.8,65.8,54.0
Brooklyn South,BKS12,10,2018,April,15.6,46.2,48.2,47.0
Brooklyn South,BKS13,10,2018,April,14.5,41.6,51.6,46.0
Brooklyn South,BKS14,10,2018,April,15.3,38.8,56.8,45.0
Brooklyn South,BKS15,10,2018,April,19.7,49.3,66.4,55.8
Brooklyn South,BKS18,10,2018,April,15.6,41.0,75.6,53.3
Bronx,BX01,10,2018,April,6.9,20.6,26.1,23.0
Bronx,BX02,10,2018,April,13.4,34.9,57.7,44.9
Bronx,BX03,10,2018,April,9.9,27.3,41.1,33.3
Bronx,BX04,10,2018,April,11.6,29.8,50.4,38.8
Bronx,BX05,10,2018,April,11.3,27.1,51.0,37.5
Bronx,BX06,10,2018,April,13.8,36.5,46.9,41.0
Bronx,BX07,10,2018,April,14.2,34.7,64.1,47.6
Bronx,BX08,10,2018,April,20.9,45.4,82.1,58.0
Bronx,BX09,10,2018,April,9.8,22.2,43.4,30.8
Bronx,BX10,10,2018,April,20.0,42.8,71.5,53.7
Bronx,BX11,10,2018,April,16.6,36.0,58.0,44.3
Bronx,BX12,10,2018,April,20.4,35.8,79.5,52.4
Manhattan,MN01,10,2018,April,27.2,45.9,76.6,53.3
Manhattan,MN02,10,2018,April,26.2,39.7,87.3,51.1
Manhattan,MN03,10,2018,April,14.7,43.2,46.2,44.5
Manhattan,MN04,10,2018,April,22.5,33.3,78.4,44.1
Manhattan,MN05,10,2018,April,20.7,33.7,64.0,41.0
Manhattan,MN06,10,2018,April,22.6,34.3,75.0,44.1
Manhattan,MN07,10,2018,April,27.4,42.8,84.9,53.0
Manhattan,MN08,10,2018,April,26.6,43.0,82.9,52.6
Manhattan,MN09,10,2018,April,18.3,55.5,51.3,53.7
Manhattan,MN10,10,2018,April,14.6,39.0,55.1,46.0
Manhattan,MN11,10,2018,April,11.3,42.1,32.9,38.1
Manhattan,MN12,10,2018,April,16.2,45.1,58.9,51.1
Queens East,QE07,10,2018,April,21.3,49.0,69.7,56.9
Queens East,QE08,10,2018,April,17.5,30.5,52.8,37.1
Queens East,QE10,10,2018,April,19.4,45.4,91.2,61.7
Queens East,QE11,10,2018,April,26.2,63.6,97.2,75.5
Queens East,QE12,10,2018,April,14.0,36.9,67.7,51.0
Queens East,QE13,10,2018,April,17.7,41.2,95.5,60.5
Queens East,QE14,10,2018,April,13.5,32.7,42.7,36.5
Queens West,QW01,10,2018,April,19.8,49.9,77.3,60.3
Queens West,QW02,10,2018,April,21.9,52.3,77.2,61.7
Queens West,QW03,10,2018,April,14.4,32.9,62.1,44.0
Queens West,QW04,10,2018,April,15.2,35.4,64.4,46.4
Queens West,QW05,10,2018,April,23.7,49.4,88.2,64.1
Queens West,QW06,10,2018,April,21.0,30.3,78.2,41.8
Queens West,QW09,10,2018,April,22.5,42.4,77.3,55.6
Staten Island,SI01,10,2018,April,19.9,48.7,81.1,60.2
Staten Island,SI02,10,2018,April,19.7,53.6,82.5,63.9
Staten Island,SI03,10,2018,April,19.9,55.8,86.6,66.7
Brooklyn North,BKN01,2,2018,August,16.2,48.5,45.6,47.2
Brooklyn North,BKN02,2,2018,August,20.1,36.8,53.1,41.6
Brooklyn North,BKN03,2,2018,August,12.0,33.0,40.7,36.5
Brooklyn North,BKN04,2,2018,August,14.7,33.2,59.0,45.0
Brooklyn North,BKN05,2,2018,August,9.6,22.2,37.5,29.2
Brooklyn North,BKN08,2,2018,August,15.5,44.7,50.1,47.2
Brooklyn North,BKN09,2,2018,August,12.4,32.9,41.1,36.2
Brooklyn North,BKN16,2,2018,August,9.3,21.9,30.2,25.7
Brooklyn North,BKN17,2,2018,August,13.5,28.5,55.7,39.3
Brooklyn South,BKS06,2,2018,August,27.7,45.1,75.6,54.1
Brooklyn South,BKS07,2,2018,August,23.9,62.6,61.1,62.0
Brooklyn South,BKS10,2,2018,August,23.6,54.7,68.9,60.4
Brooklyn South,BKS11,2,2018,August,20.1,45.9,58.1,50.8
Brooklyn South,BKS12,2,2018,August,15.9,49.1,39.8,44.9
Brooklyn South,BKS13,2,2018,August,14.2,37.6,48.0,42.1
Brooklyn South,BKS14,2,2018,August,13.6,31.5,49.7,37.4
Brooklyn South,BKS15,2,2018,August,19.4,47.1,54.2,49.9
Brooklyn South,BKS18,2,2018,August,14.7,33.0,60.7,42.8
Bronx,BX01,2,2018,August,6.6,17.0,26.5,21.1
Bronx,BX02,2,2018,August,12.7,28.9,56.2,40.6
Bronx,BX03,2,2018,August,8.6,21.1,35.8,27.4
Bronx,BX04,2,2018,August,11.3,25.7,50.1,36.2
Bronx,BX05,2,2018,August,11.1,23.8,51.0,35.5
Bronx,BX06,2,2018,August,12.6,36.3,45.3,40.2
Bronx,BX07,2,2018,August,13.9,30.9,62.9,44.6
Bronx,BX08,2,2018,August,19.6,39.7,78.0,52.1
Bronx,BX09,2,2018,August,9.7,22.7,37.6,29.5
Bronx,BX10,2,2018,August,20.4,42.3,65.7,51.6
Bronx,BX11,2,2018,August,17.2,35.7,51.8,42.1
Bronx,BX12,2,2018,August,16.5,33.5,70.2,48.1
Manhattan,MN01,2,2018,August,25.3,40.9,66.4,47.8
Manhattan,MN02,2,2018,August,23.9,36.6,73.1,46.5
Manhattan,MN03,2,2018,August,13.2,40.4,43.9,41.9
Manhattan,MN04,2,2018,August,21.4,31.1,70.3,41.7
Manhattan,MN05,2,2018,August,17.7,27.5,53.2,34.4
Manhattan,MN06,2,2018,August,21.3,31.3,66.1,40.7
Manhattan,MN07,2,2018,August,25.2,39.7,71.5,48.3
Manhattan,MN08,2,2018,August,24.7,39.6,69.0,47.6
Manhattan,MN09,2,2018,August,17.2,54.4,50.6,52.8
Manhattan,MN10,2,2018,August,14.0,35.0,56.0,44.0
Manhattan,MN11,2,2018,August,11.3,37.7,34.0,36.1
Manhattan,MN12,2,2018,August,15.1,41.4,57.2,48.2
Queens East,QE07,2,2018,August,17.5,46.3,57.9,50.9
Queens East,QE08,2,2018,August,15.7,26.7,52.3,34.3
Queens East,QE10,2,2018,August,20.0,35.0,81.1,51.3
Queens East,QE11,2,2018,August,26.4,54.6,76.9,62.5
Queens East,QE12,2,2018,August,13.8,31.8,59.6,45.2
Queens East,QE13,2,2018,August,16.9,30.6,83.2,49.3
Queens East,QE14,2,2018,August,11.2,27.7,40.4,32.8
Queens West,QW01,2,2018,August,19.4,47.8,69.5,56.4
Queens West,QW02,2,2018,August,19.5,48.6,68.9,56.7
Queens West,QW03,2,2018,August,14.0,29.4,58.4,40.9
Queens West,QW04,2,2018,August,14.7,34.0,56.2,42.8
Queens West,QW05,2,2018,August,23.6,44.6,84.1,60.3
Queens West,QW06,2,2018,August,20.6,29.9,67.6,40.1
